family,module_dir,total_candidates,equivalent,not_equivalent,skip,tool_limited,compatible,incompatible,missing_candidates
double_fpu,fpu_addsub_pipeline,5,0,0,5,0,0,0,3
double_fpu,fpu_exceptions,15,1,11,3,0,12,2,3
double_fpu,fpu_add,15,5,10,0,0,15,0,3
double_fpu,fpu_mul_pipeline,5,0,0,5,0,0,0,3
double_fpu,fpu_round,15,3,10,2,0,13,2,3
double_fpu,fpu_div,15,1,9,5,0,10,2,3
double_fpu,fpu_sub,15,9,5,1,0,14,0,3
i2c,i2c_master_bit_ctrl,15,0,13,2,0,13,1,3
i2c,i2c_master_byte_ctrl,15,1,10,4,0,11,0,3
i2c,i2c_master_top,15,0,12,3,0,12,0,3
mips_16,mips_EX_stage,15,0,0,6,9,9,0,3
double_fpu,fpu_mul,15,11,0,4,0,11,0,3
mips_16,mips_ID_stage,15,0,0,1,14,14,0,3
mips_16,mips_IF_stage,15,6,3,6,0,9,0,3
mips_16,mips_WB_stage,15,15,0,0,0,15,0,3
mips_16,mips_alu,15,0,0,4,11,11,0,3
double_fpu,fpu_double,15,7,1,7,0,8,1,3
mips_16,mips_hazard_detection_unit,15,15,0,0,0,15,0,3
mips_16,mips_instruction_mem,15,8,4,3,0,12,2,3
mips_16,mips_mips_16_core_top,15,0,0,13,2,2,0,3
or1200,or1200_alu,15,1,10,4,0,11,2,3
or1200,or1200_cfgr,15,4,5,6,0,9,2,3
or1200,or1200_cpu,15,0,9,6,0,9,2,3
or1200,or1200_ctrl,15,0,7,8,0,7,5,3
or1200,or1200_dc_fsm,15,0,12,3,0,12,2,3
or1200,or1200_dc_ram,15,7,0,4,4,11,2,3
or1200,or1200_dc_tag,15,3,11,1,0,14,0,3
mips_16,mips_register_file,15,5,0,0,10,15,0,3
mips_16,mips_MEM_stage,15,0,0,1,14,14,0,3
or1200,or1200_dmmu_tlb,15,0,10,5,0,10,2,3
or1200,or1200_dmmu_top,15,0,4,11,0,4,2,3
mips_16,mips_data_mem,15,0,0,0,15,15,0,3
or1200,or1200_du,15,0,11,4,0,11,2,3
or1200,or1200_except,15,0,13,2,0,13,2,3
or1200,or1200_freeze,15,10,3,2,0,13,2,3
or1200,or1200_genpc,15,0,15,0,0,15,0,3
or1200,or1200_gmultp2_32x32,15,10,1,4,0,11,2,3
or1200,or1200_ic_fsm,15,4,10,1,0,14,1,3
or1200,or1200_dc_top,15,0,3,9,3,6,1,3
or1200,or1200_ic_tag,15,8,3,4,0,11,2,3
or1200,or1200_if,15,5,9,1,0,14,1,3
or1200,or1200_immu_top,15,0,9,6,0,9,2,3
or1200,or1200_immu_tlb,15,3,7,5,0,10,3,3
or1200,or1200_ic_top,15,0,5,8,2,7,2,3
or1200,or1200_iwb_biu,15,0,10,5,0,10,3,3
or1200,or1200_lsu,15,3,6,6,0,9,2,3
or1200,or1200_mem2reg,15,1,12,2,0,13,2,3
or1200,or1200_ic_ram,15,6,0,5,4,10,1,3
or1200,or1200_mult_mac,15,0,8,7,0,8,2,3
or1200,or1200_operandmuxes,15,5,8,2,0,13,2,3
or1200,or1200_pic,15,5,6,4,0,11,2,3
or1200,or1200_pm,15,11,4,0,0,15,0,3
or1200,or1200_qmem_top,15,11,1,3,0,12,2,3
or1200,or1200_reg2mem,15,2,11,2,0,13,2,3
or1200,or1200_rf,15,0,6,9,0,6,3,3
or1200,or1200_sb,15,10,1,4,0,11,2,3
or1200,or1200_sprs,15,2,10,3,0,12,2,3
or1200,or1200_top,15,0,4,11,0,4,6,3
verilog_cordic_core,cordic,15,1,13,1,0,14,0,3
verilog_cordic_core,rotator,15,4,0,11,0,4,1,3
verilog_cordic_core,signed_shifter,15,5,0,10,0,5,4,3
or1200,or1200_wb_biu,15,0,12,3,0,12,3,3
or1200,or1200_wbmux,15,7,2,6,0,9,3,3
or1200,or1200_tt,15,10,3,2,0,13,0,3
