backend,model,module_dir,candidate_file,reference_file,reference_top,candidate_top,reference_precheck,candidate_precheck,interface_status,formal_status,proof_type,reason_bucket,reason,interface_reason_kind,interface_reason,interface_aliases_applied,counterexample_summary,counterexample_json
yosys,claude,cordic,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/cordic/cordic_t1.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/verilog_cordic_core/rtl/tb_cordic.v,tb,cordic,pass,pass,compatible,not_equivalent,simulation_tb,not_equivalent,tb_cordic reported mismatches: Angle:           1  sin = 0.008606  cos = 0.999878        errors    289      1 | Angle:           2  sin = 0.017517  cos = 0.999664        errors    569      9 | Angle:           3  sin = 0.026184  cos = 0.999542        errors    856     30,testbench_matched,tb_cordic compiled against candidate cordic,[],Angle:           1  sin = 0.008606  cos = 0.999878        errors    289      1,"{""tb_failure_lines"": [""Angle:           1  sin = 0.008606  cos = 0.999878        errors    289      1"", ""Angle:           2  sin = 0.017517  cos = 0.999664        errors    569      9"", ""Angle:           3  sin = 0.026184  cos = 0.999542        errors    856     30"", ""Angle:           4  sin = 0.034973  cos = 0.999237        errors   1139     55"", ""Angle:           5  sin = 0.043640  cos = 0.998993        errors   1425     92"", ""Angle:           6  sin = 0.052307  cos = 0.998474        errors   1711    130"", ""Angle:           7  sin = 0.060974  cos = 0.998108        errors   1995    183"", ""Angle:           8  sin = 0.069824  cos = 0.997467        errors   2272    236"", ""Angle:           9  sin = 0.078583  cos = 0.996735        errors   2551    297"", ""Angle:          10  sin = 0.087189  cos = 0.996063        errors   2833    369""]}"
yosys,claude,cordic,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/cordic/cordic_t2.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/verilog_cordic_core/rtl/tb_cordic.v,tb,cordic,pass,fail,skip,skip,simulation_tb,precheck_fail,Candidate precheck failed: tb_cordic compile failed: ./cordic.v:215: error: Unknown module type: rotator | ./cordic.v:215: error: Unknown module type: rotator | ./cordic.v:215: error: Unknown module type: rotator | ./cordic.v:215: error: Unknown module type: rotator | ./cordic.v:215: error: Unknown module type: rotator | ./cordic.v:215: error: Unknown module type: rotator | ./cordic.v:215: error: Unknown module type: rotator | ./cordic.v:215: error: Unknown module type: rotator,,,[],,
yosys,claude,cordic,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/cordic/cordic_t3.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/verilog_cordic_core/rtl/tb_cordic.v,tb,cordic,pass,pass,compatible,not_equivalent,simulation_tb,not_equivalent,tb_cordic reported mismatches: Angle:           1  sin = 0.027374  cos = 0.999603        errors    326      8 | Angle:           2  sin = 0.054779  cos = 0.998474        errors    652     30 | Angle:           3  sin = 0.082275  cos = 0.996490        errors    982     70,testbench_matched,tb_cordic compiled against candidate cordic,[],Angle:           1  sin = 0.027374  cos = 0.999603        errors    326      8,"{""tb_failure_lines"": [""Angle:           1  sin = 0.027374  cos = 0.999603        errors    326      8"", ""Angle:           2  sin = 0.054779  cos = 0.998474        errors    652     30"", ""Angle:           3  sin = 0.082275  cos = 0.996490        errors    982     70"", ""Angle:           4  sin = 0.109436  cos = 0.993896        errors   1301    120"", ""Angle:           5  sin = 0.136627  cos = 0.990662        errors   1622    181"", ""Angle:           6  sin = 0.163727  cos = 0.986481        errors   1940    263"", ""Angle:           7  sin = 0.190613  cos = 0.981659        errors   2253    356"", ""Angle:           8  sin = 0.217560  cos = 0.975983        errors   2569    468"", ""Angle:           9  sin = 0.244263  cos = 0.969727        errors   2878    588"", ""Angle:          10  sin = 0.270691  cos = 0.962616        errors   3180    727""]}"
yosys,claude,cordic,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/cordic/cordic_t4.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/verilog_cordic_core/rtl/tb_cordic.v,tb,cordic,pass,pass,compatible,not_equivalent,simulation_tb,not_equivalent,tb_cordic reported mismatches: Angle:           1  sin = 0.040009  cos = 0.999237        errors    740     20 | Angle:           2  sin = 0.097717  cos = 0.995087        errors   2059    141 | Angle:           3  sin = 0.155792  cos = 0.987732        errors   3391    357,testbench_matched,tb_cordic compiled against candidate cordic,[],Angle:           1  sin = 0.040009  cos = 0.999237        errors    740     20,"{""tb_failure_lines"": [""Angle:           1  sin = 0.040009  cos = 0.999237        errors    740     20"", ""Angle:           2  sin = 0.097717  cos = 0.995087        errors   2059    141"", ""Angle:           3  sin = 0.155792  cos = 0.987732        errors   3391    357"", ""Angle:           4  sin = 0.213257  cos = 0.976929        errors   4703    676"", ""Angle:           5  sin = 0.270020  cos = 0.962799        errors   5993   1094"", ""Angle:           6  sin = 0.318451  cos = 0.947815        errors   7010   1530"", ""Angle:           7  sin = 0.373413  cos = 0.927582        errors   8243   2128"", ""Angle:           8  sin = 0.427063  cos = 0.904266        errors   9434   2818"", ""Angle:           9  sin = 0.479187  cos = 0.877686        errors  10576   3604"", ""Angle:          10  sin = 0.529755  cos = 0.848145        errors  11669   4478""]}"
yosys,claude,cordic,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/cordic/cordic_t5.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/verilog_cordic_core/rtl/tb_cordic.v,tb,cordic,pass,pass,compatible,not_equivalent,simulation_tb,not_equivalent,tb_cordic reported mismatches: Angle:           0  sin = 0.000000  cos = 0.000000        errors      0  32768 | Angle:           1  sin = 3.999847  cos = 1.999939        errors   -576  32771 | Angle:           2  sin = 0.017365  cos = 1.999939        errors    574  32786,testbench_matched,tb_cordic compiled against candidate cordic,[],Angle:           0  sin = 0.000000  cos = 0.000000        errors      0  32768,"{""tb_failure_lines"": [""Angle:           0  sin = 0.000000  cos = 0.000000        errors      0  32768"", ""Angle:           1  sin = 3.999847  cos = 1.999939        errors   -576  32771"", ""Angle:           2  sin = 0.017365  cos = 1.999939        errors    574  32786"", ""Angle:           3  sin = 0.035034  cos = 1.999634        errors    566  32801"", ""Angle:           4  sin = 0.052429  cos = 1.999359        errors    567  32827"", ""Angle:           5  sin = 0.069946  cos = 1.998779        errors    563  32853"", ""Angle:           6  sin = 0.087341  cos = 1.998138        errors    563  32887"", ""Angle:           7  sin = 0.104675  cos = 1.997223        errors    563  32922"", ""Angle:           8  sin = 0.122070  cos = 1.996338        errors    560  32967"", ""Angle:           9  sin = 0.139648  cos = 1.995148        errors    550  33013""]}"
yosys,codex,cordic,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/cordic/cordic_t1.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/verilog_cordic_core/rtl/tb_cordic.v,tb,cordic,pass,pass,compatible,not_equivalent,simulation_tb,not_equivalent,tb_cordic reported mismatches: Angle:           0  sin = 0.000000  cos = 0.000000        errors      0  32768 | Angle:           1  sin = 0.000061  cos = 0.999908        errors    569      2 | Angle:           2  sin = 0.008606  cos = 0.999878        errors    861     16,testbench_matched,tb_cordic compiled against candidate cordic,[],Angle:           0  sin = 0.000000  cos = 0.000000        errors      0  32768,"{""tb_failure_lines"": [""Angle:           0  sin = 0.000000  cos = 0.000000        errors      0  32768"", ""Angle:           1  sin = 0.000061  cos = 0.999908        errors    569      2"", ""Angle:           2  sin = 0.008606  cos = 0.999878        errors    861     16"", ""Angle:           3  sin = 0.017517  cos = 0.999664        errors   1140     34"", ""Angle:           4  sin = 0.026184  cos = 0.999542        errors   1427     65"", ""Angle:           5  sin = 0.034973  cos = 0.999237        errors   1709    100"", ""Angle:           6  sin = 0.043640  cos = 0.998993        errors   1995    147"", ""Angle:           7  sin = 0.052307  cos = 0.998474        errors   2279    195"", ""Angle:           8  sin = 0.060974  cos = 0.998108        errors   2562    257"", ""Angle:           9  sin = 0.069824  cos = 0.997467        errors   2838    321""]}"
yosys,codex,cordic,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/cordic/cordic_t2.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/verilog_cordic_core/rtl/tb_cordic.v,tb,cordic,pass,pass,compatible,not_equivalent,simulation_tb,not_equivalent,tb_cordic reported mismatches: Angle:           0  sin = 0.000000  cos = 0.000000        errors      0  32768 | Angle:           1  sin = 0.000061  cos = 0.999908        errors    569      2 | Angle:           2  sin = 0.017517  cos = 0.999664        errors    569      9,testbench_matched,tb_cordic compiled against candidate cordic,[],Angle:           0  sin = 0.000000  cos = 0.000000        errors      0  32768,"{""tb_failure_lines"": [""Angle:           0  sin = 0.000000  cos = 0.000000        errors      0  32768"", ""Angle:           1  sin = 0.000061  cos = 0.999908        errors    569      2"", ""Angle:           2  sin = 0.017517  cos = 0.999664        errors    569      9"", ""Angle:           3  sin = 0.034973  cos = 0.999237        errors    568     20"", ""Angle:           4  sin = 0.052307  cos = 0.998474        errors    571     30"", ""Angle:           5  sin = 0.069824  cos = 0.997467        errors    567     42"", ""Angle:           6  sin = 0.087189  cos = 0.996063        errors    568     51"", ""Angle:           7  sin = 0.104523  cos = 0.994415        errors    568     62"", ""Angle:           8  sin = 0.121857  cos = 0.992493        errors    567     73"", ""Angle:           9  sin = 0.139160  cos = 0.990143        errors    566     81""]}"
yosys,codex,cordic,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/cordic/cordic_t3.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/verilog_cordic_core/rtl/tb_cordic.v,tb,cordic,pass,pass,compatible,not_equivalent,simulation_tb,not_equivalent,tb_cordic reported mismatches: Angle:           0  sin = 0.000000  cos = 0.000000        errors      0  32768 | Angle:           1  sin = 0.000061  cos = 0.999908        errors    569      2 | Angle:           2  sin = 0.008728  cos = 0.999878        errors    857     16,testbench_matched,tb_cordic compiled against candidate cordic,[],Angle:           0  sin = 0.000000  cos = 0.000000        errors      0  32768,"{""tb_failure_lines"": [""Angle:           0  sin = 0.000000  cos = 0.000000        errors      0  32768"", ""Angle:           1  sin = 0.000061  cos = 0.999908        errors    569      2"", ""Angle:           2  sin = 0.008728  cos = 0.999878        errors    857     16"", ""Angle:           3  sin = 0.017456  cos = 0.999664        errors   1142     34"", ""Angle:           4  sin = 0.026123  cos = 0.999542        errors   1429     65"", ""Angle:           5  sin = 0.034973  cos = 0.999237        errors   1709    100"", ""Angle:           6  sin = 0.043640  cos = 0.998993        errors   1995    147"", ""Angle:           7  sin = 0.052307  cos = 0.998474        errors   2279    195"", ""Angle:           8  sin = 0.060974  cos = 0.998108        errors   2562    257"", ""Angle:           9  sin = 0.069824  cos = 0.997467        errors   2838    321""]}"
yosys,codex,cordic,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/cordic/cordic_t4.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/verilog_cordic_core/rtl/tb_cordic.v,tb,cordic,pass,pass,compatible,not_equivalent,simulation_tb,not_equivalent,tb_cordic reported mismatches: Angle:           0  sin = 0.000000  cos = 0.000000        errors      0  32768 | Angle:           1  sin = 0.000061  cos = 0.999908        errors    569      2 | Angle:           2  sin = 0.008606  cos = 0.999878        errors    861     16,testbench_matched,tb_cordic compiled against candidate cordic,[],Angle:           0  sin = 0.000000  cos = 0.000000        errors      0  32768,"{""tb_failure_lines"": [""Angle:           0  sin = 0.000000  cos = 0.000000        errors      0  32768"", ""Angle:           1  sin = 0.000061  cos = 0.999908        errors    569      2"", ""Angle:           2  sin = 0.008606  cos = 0.999878        errors    861     16"", ""Angle:           3  sin = 0.017517  cos = 0.999664        errors   1140     34"", ""Angle:           4  sin = 0.026184  cos = 0.999542        errors   1427     65"", ""Angle:           5  sin = 0.034973  cos = 0.999237        errors   1709    100"", ""Angle:           6  sin = 0.043640  cos = 0.998993        errors   1995    147"", ""Angle:           7  sin = 0.052307  cos = 0.998474        errors   2279    195"", ""Angle:           8  sin = 0.060974  cos = 0.998108        errors   2562    257"", ""Angle:           9  sin = 0.069824  cos = 0.997467        errors   2838    321""]}"
yosys,codex,cordic,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/cordic/cordic_t5.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/verilog_cordic_core/rtl/tb_cordic.v,tb,cordic,pass,pass,compatible,not_equivalent,simulation_tb,not_equivalent,tb_cordic reported mismatches: Angle:           0  sin = 0.000000  cos = 0.000000        errors      0  32768 | Angle:           1  sin = 0.000061  cos = 0.999908        errors    569      2 | Angle:           2  sin = 0.054565  cos = 0.998352        errors    645     34,testbench_matched,tb_cordic compiled against candidate cordic,[],Angle:           0  sin = 0.000000  cos = 0.000000        errors      0  32768,"{""tb_failure_lines"": [""Angle:           0  sin = 0.000000  cos = 0.000000        errors      0  32768"", ""Angle:           1  sin = 0.000061  cos = 0.999908        errors    569      2"", ""Angle:           2  sin = 0.054565  cos = 0.998352        errors    645     34"", ""Angle:           3  sin = 0.109406  cos = 0.993835        errors   1871    157"", ""Angle:           4  sin = 0.163696  cos = 0.986420        errors   3079    365"", ""Angle:           5  sin = 0.217529  cos = 0.975922        errors   4273    664"", ""Angle:           6  sin = 0.270477  cos = 0.962616        errors   5438   1045"", ""Angle:           7  sin = 0.322998  cos = 0.946259        errors   6591   1516"", ""Angle:           8  sin = 0.374359  cos = 0.927185        errors   7707   2067"", ""Angle:           9  sin = 0.424774  cos = 0.905212        errors   8793   2702""]}"
