backend,model,module_dir,candidate_file,reference_file,reference_top,candidate_top,reference_precheck,candidate_precheck,interface_status,formal_status,proof_type,reason_bucket,reason,interface_reason_kind,interface_reason,interface_aliases_applied,counterexample_summary,counterexample_json
yosys,claude,fpu_double,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/fpu_double/fpu_double_t1.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/double_fpu/des/verilog/fpu_double/fpu_double.v,fpu,fpu,pass,pass,compatible,equivalent,bounded_seq,equivalent,Bounded proof passed within 8 cycles,exact_match,normalized interface matches exactly,[],,
yosys,claude,fpu_double,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/fpu_double/fpu_double_t2.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/double_fpu/des/verilog/fpu_double/fpu_double.v,fpu,fpu,pass,pass,compatible,equivalent,bounded_seq,equivalent,Bounded proof passed within 8 cycles,exact_match,normalized interface matches exactly,[],,
yosys,claude,fpu_double,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/fpu_double/fpu_double_t3.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/double_fpu/des/verilog/fpu_double/fpu_double.v,fpu,fpu_double,pass,pass,compatible,equivalent,bounded_seq,equivalent,Bounded proof passed within 8 cycles,exact_match,normalized interface matches exactly,[],,
yosys,claude,fpu_double,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/fpu_double/fpu_double_t4.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/double_fpu/des/verilog/fpu_double/fpu_double.v,fpu,fpu,pass,pass,incompatible,skip,bounded_seq,interface_mismatch,Interface normalization rejected candidate,width_mismatch,rmode width mismatch (2 bits vs 3 bits),[],,
yosys,claude,fpu_double,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/fpu_double/fpu_double_t5.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/double_fpu/des/verilog/fpu_double/fpu_double.v,fpu,fpu,pass,pass,compatible,not_equivalent,bounded_seq,not_equivalent,找到反例，候选设计与参考设计不等价,exact_match,normalized interface matches exactly,[],step 3 failed,"{""failing_step"": 3, ""mismatch_outputs"": {""ready"": {""gold"": {""bin"": ""0"", ""hex"": ""0x0""}, ""gate"": {""bin"": ""1"", ""hex"": ""0x1""}}}, ""trace"": [{""step"": 1, ""trigger"": ""0"", ""inputs"": {""clk"": {""bin"": ""0"", ""hex"": ""0x0""}, ""rst"": {""bin"": ""1"", ""hex"": ""0x1""}, ""enable"": {""bin"": ""0"", ""hex"": ""0x0""}, ""rmode"": {""bin"": ""00"", ""hex"": ""0x0""}, ""fpu_op"": {""bin"": ""000"", ""hex"": ""0x0""}, ""opa"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}, ""opb"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}}, ""gold_outputs"": {""out"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}, ""ready"": {""bin"": ""0"", ""hex"": ""0x0""}, ""underflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""overflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""inexact"": {""bin"": ""0"", ""hex"": ""0x0""}, ""exception"": {""bin"": ""0"", ""hex"": ""0x0""}, ""invalid"": {""bin"": ""0"", ""hex"": ""0x0""}}, ""gate_outputs"": {""out"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}, ""ready"": {""bin"": ""0"", ""hex"": ""0x0""}, ""underflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""overflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""inexact"": {""bin"": ""0"", ""hex"": ""0x0""}, ""exception"": {""bin"": ""0"", ""hex"": ""0x0""}, ""invalid"": {""bin"": ""0"", ""hex"": ""0x0""}}}, {""step"": 2, ""trigger"": ""0"", ""inputs"": {""clk"": {""bin"": ""0"", ""hex"": ""0x0""}, ""rst"": {""bin"": ""0"", ""hex"": ""0x0""}, ""enable"": {""bin"": ""1"", ""hex"": ""0x1""}, ""rmode"": {""bin"": ""00"", ""hex"": ""0x0""}, ""fpu_op"": {""bin"": ""000"", ""hex"": ""0x0""}, ""opa"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}, ""opb"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}}, ""gold_outputs"": {""out"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}, ""ready"": {""bin"": ""0"", ""hex"": ""0x0""}, ""underflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""overflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""inexact"": {""bin"": ""0"", ""hex"": ""0x0""}, ""exception"": {""bin"": ""0"", ""hex"": ""0x0""}, ""invalid"": {""bin"": ""0"", ""hex"": ""0x0""}}, ""gate_outputs"": {""out"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}, ""ready"": {""bin"": ""0"", ""hex"": ""0x0""}, ""underflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""overflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""inexact"": {""bin"": ""0"", ""hex"": ""0x0""}, ""exception"": {""bin"": ""0"", ""hex"": ""0x0""}, ""invalid"": {""bin"": ""0"", ""hex"": ""0x0""}}}, {""step"": 3, ""trigger"": ""1"", ""inputs"": {""clk"": {""bin"": ""1"", ""hex"": ""0x1""}, ""rst"": {""bin"": ""0"", ""hex"": ""0x0""}, ""enable"": {""bin"": ""0"", ""hex"": ""0x0""}, ""rmode"": {""bin"": ""00"", ""hex"": ""0x0""}, ""fpu_op"": {""bin"": ""001"", ""hex"": ""0x1""}, ""opa"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}, ""opb"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}}, ""gold_outputs"": {""out"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}, ""ready"": {""bin"": ""0"", ""hex"": ""0x0""}, ""underflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""overflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""inexact"": {""bin"": ""0"", ""hex"": ""0x0""}, ""exception"": {""bin"": ""0"", ""hex"": ""0x0""}, ""invalid"": {""bin"": ""0"", ""hex"": ""0x0""}}, ""gate_outputs"": {""out"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}, ""ready"": {""bin"": ""1"", ""hex"": ""0x1""}, ""underflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""overflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""inexact"": {""bin"": ""0"", ""hex"": ""0x0""}, ""exception"": {""bin"": ""0"", ""hex"": ""0x0""}, ""invalid"": {""bin"": ""0"", ""hex"": ""0x0""}}}, {""step"": 4, ""trigger"": ""1"", ""inputs"": {""clk"": {""bin"": ""0"", ""hex"": ""0x0""}, ""rst"": {""bin"": ""0"", ""hex"": ""0x0""}, ""enable"": {""bin"": ""1"", ""hex"": ""0x1""}, ""rmode"": {""bin"": ""01"", ""hex"": ""0x1""}, ""fpu_op"": {""bin"": ""100"", ""hex"": ""0x4""}, ""opa"": {""bin"": ""0111111111110000000000000000000000000000000000000000000000000000"", ""hex"": ""0x7ff0000000000000""}, ""opb"": {""bin"": ""1000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x8000000000000000""}}, ""gold_outputs"": {""out"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}, ""ready"": {""bin"": ""0"", ""hex"": ""0x0""}, ""underflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""overflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""inexact"": {""bin"": ""0"", ""hex"": ""0x0""}, ""exception"": {""bin"": ""0"", ""hex"": ""0x0""}, ""invalid"": {""bin"": ""0"", ""hex"": ""0x0""}}, ""gate_outputs"": {""out"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}, ""ready"": {""bin"": ""1"", ""hex"": ""0x1""}, ""underflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""overflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""inexact"": {""bin"": ""0"", ""hex"": ""0x0""}, ""exception"": {""bin"": ""0"", ""hex"": ""0x0""}, ""invalid"": {""bin"": ""0"", ""hex"": ""0x0""}}}, {""step"": 5, ""trigger"": ""1"", ""inputs"": {""clk"": {""bin"": ""1"", ""hex"": ""0x1""}, ""rst"": {""bin"": ""0"", ""hex"": ""0x0""}, ""enable"": {""bin"": ""0"", ""hex"": ""0x0""}, ""rmode"": {""bin"": ""00"", ""hex"": ""0x0""}, ""fpu_op"": {""bin"": ""000"", ""hex"": ""0x0""}, ""opa"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}, ""opb"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}}, ""gold_outputs"": {""out"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}, ""ready"": {""bin"": ""0"", ""hex"": ""0x0""}, ""underflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""overflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""inexact"": {""bin"": ""0"", ""hex"": ""0x0""}, ""exception"": {""bin"": ""0"", ""hex"": ""0x0""}, ""invalid"": {""bin"": ""0"", ""hex"": ""0x0""}}, ""gate_outputs"": {""out"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}, ""ready"": {""bin"": ""1"", ""hex"": ""0x1""}, ""underflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""overflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""inexact"": {""bin"": ""0"", ""hex"": ""0x0""}, ""exception"": {""bin"": ""0"", ""hex"": ""0x0""}, ""invalid"": {""bin"": ""0"", ""hex"": ""0x0""}}}, {""step"": 6, ""trigger"": ""1"", ""inputs"": {""clk"": {""bin"": ""0"", ""hex"": ""0x0""}, ""rst"": {""bin"": ""0"", ""hex"": ""0x0""}, ""enable"": {""bin"": ""1"", ""hex"": ""0x1""}, ""rmode"": {""bin"": ""00"", ""hex"": ""0x0""}, ""fpu_op"": {""bin"": ""000"", ""hex"": ""0x0""}, ""opa"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}, ""opb"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}}, ""gold_outputs"": {""out"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}, ""ready"": {""bin"": ""0"", ""hex"": ""0x0""}, ""underflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""overflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""inexact"": {""bin"": ""0"", ""hex"": ""0x0""}, ""exception"": {""bin"": ""0"", ""hex"": ""0x0""}, ""invalid"": {""bin"": ""0"", ""hex"": ""0x0""}}, ""gate_outputs"": {""out"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}, ""ready"": {""bin"": ""1"", ""hex"": ""0x1""}, ""underflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""overflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""inexact"": {""bin"": ""0"", ""hex"": ""0x0""}, ""exception"": {""bin"": ""0"", ""hex"": ""0x0""}, ""invalid"": {""bin"": ""0"", ""hex"": ""0x0""}}}, {""step"": 7, ""trigger"": ""1"", ""inputs"": {""clk"": {""bin"": ""1"", ""hex"": ""0x1""}, ""rst"": {""bin"": ""0"", ""hex"": ""0x0""}, ""enable"": {""bin"": ""0"", ""hex"": ""0x0""}, ""rmode"": {""bin"": ""00"", ""hex"": ""0x0""}, ""fpu_op"": {""bin"": ""000"", ""hex"": ""0x0""}, ""opa"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}, ""opb"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}}, ""gold_outputs"": {""out"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}, ""ready"": {""bin"": ""0"", ""hex"": ""0x0""}, ""underflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""overflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""inexact"": {""bin"": ""0"", ""hex"": ""0x0""}, ""exception"": {""bin"": ""0"", ""hex"": ""0x0""}, ""invalid"": {""bin"": ""0"", ""hex"": ""0x0""}}, ""gate_outputs"": {""out"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}, ""ready"": {""bin"": ""1"", ""hex"": ""0x1""}, ""underflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""overflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""inexact"": {""bin"": ""0"", ""hex"": ""0x0""}, ""exception"": {""bin"": ""0"", ""hex"": ""0x0""}, ""invalid"": {""bin"": ""0"", ""hex"": ""0x0""}}}, {""step"": 8, ""trigger"": ""1"", ""inputs"": {""clk"": {""bin"": ""1"", ""hex"": ""0x1""}, ""rst"": {""bin"": ""0"", ""hex"": ""0x0""}, ""enable"": {""bin"": ""0"", ""hex"": ""0x0""}, ""rmode"": {""bin"": ""00"", ""hex"": ""0x0""}, ""fpu_op"": {""bin"": ""000"", ""hex"": ""0x0""}, ""opa"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}, ""opb"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}}, ""gold_outputs"": {""out"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}, ""ready"": {""bin"": ""0"", ""hex"": ""0x0""}, ""underflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""overflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""inexact"": {""bin"": ""0"", ""hex"": ""0x0""}, ""exception"": {""bin"": ""0"", ""hex"": ""0x0""}, ""invalid"": {""bin"": ""0"", ""hex"": ""0x0""}}, ""gate_outputs"": {""out"": {""bin"": ""0000000000000000000000000000000000000000000000000000000000000000"", ""hex"": ""0x0000000000000000""}, ""ready"": {""bin"": ""1"", ""hex"": ""0x1""}, ""underflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""overflow"": {""bin"": ""0"", ""hex"": ""0x0""}, ""inexact"": {""bin"": ""0"", ""hex"": ""0x0""}, ""exception"": {""bin"": ""0"", ""hex"": ""0x0""}, ""invalid"": {""bin"": ""0"", ""hex"": ""0x0""}}}]}"
yosys,codex,fpu_double,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/fpu_double/fpu_double_t1.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/double_fpu/des/verilog/fpu_double/fpu_double.v,fpu,fpu,pass,fail,skip,skip,bounded_seq,precheck_fail,Candidate precheck failed: /hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/fpu_double/fpu_double_t1.v:64: ERROR: 2nd expression of procedural for-loop is not constant!,,,[],,
yosys,codex,fpu_double,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/fpu_double/fpu_double_t2.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/double_fpu/des/verilog/fpu_double/fpu_double.v,fpu,fpu,pass,pass,compatible,equivalent,bounded_seq,equivalent,Bounded proof passed within 8 cycles,exact_match,normalized interface matches exactly,[],,
yosys,codex,fpu_double,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/fpu_double/fpu_double_t3.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/double_fpu/des/verilog/fpu_double/fpu_double.v,fpu,fpu,pass,pass,compatible,equivalent,bounded_seq,equivalent,Bounded proof passed within 8 cycles,exact_match,normalized interface matches exactly,[],,
yosys,codex,fpu_double,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/fpu_double/fpu_double_t4.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/double_fpu/des/verilog/fpu_double/fpu_double.v,fpu,fpu,pass,pass,compatible,equivalent,bounded_seq,equivalent,Bounded proof passed within 8 cycles,exact_match,normalized interface matches exactly,[],,
yosys,codex,fpu_double,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/fpu_double/fpu_double_t5.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/double_fpu/des/verilog/fpu_double/fpu_double.v,fpu,fpu,pass,pass,compatible,equivalent,bounded_seq,equivalent,Bounded proof passed within 8 cycles,exact_match,normalized interface matches exactly,[],,
yosys,deepseek,fpu_double,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/deepseek/fpu_double/fpu_double_t1.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/double_fpu/des/verilog/fpu_double/fpu_double.v,fpu,fpu_double_t1,pass,fail,skip,skip,unknown,precheck_fail,"Candidate precheck failed: candidate top resolution failed for /hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/deepseek/fpu_double/fpu_double_t1.v: ambiguous_top: fpu, fpu_add, fpu_sub, fpu_mul, fpu_div, fpu_round, fpu_exception",,,[],,
yosys,deepseek,fpu_double,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/deepseek/fpu_double/fpu_double_t2.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/double_fpu/des/verilog/fpu_double/fpu_double.v,fpu,fpu_double_t2,pass,fail,skip,skip,unknown,precheck_fail,"Candidate precheck failed: candidate top resolution failed for /hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/deepseek/fpu_double/fpu_double_t2.v: ambiguous_top: fpu, fpu_add_sub, fpu_mul, fpu_div",,,[],,
yosys,deepseek,fpu_double,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/deepseek/fpu_double/fpu_double_t3.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/double_fpu/des/verilog/fpu_double/fpu_double.v,fpu,fpu_double,pass,fail,skip,skip,bounded_seq,precheck_fail,"Candidate precheck failed: /hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/deepseek/fpu_double/fpu_double_t3.v:54: ERROR: syntax error, unexpected TOK_REAL",,,[],,
yosys,deepseek,fpu_double,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/deepseek/fpu_double/fpu_double_t4.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/double_fpu/des/verilog/fpu_double/fpu_double.v,fpu,fpu_double,pass,fail,skip,skip,bounded_seq,precheck_fail,"Candidate precheck failed: /hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/deepseek/fpu_double/fpu_double_t4.v:38: ERROR: syntax error, unexpected TOK_REAL",,,[],,
yosys,deepseek,fpu_double,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/deepseek/fpu_double/fpu_double_t5.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/double_fpu/des/verilog/fpu_double/fpu_double.v,fpu,fpu_double,pass,fail,skip,skip,bounded_seq,precheck_fail,Candidate precheck failed: /hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/deepseek/fpu_double/fpu_double_t5.v:115: ERROR: Can't resolve function name `\$bitstoreal'.,,,[],,
