backend,model,module_dir,candidate_file,reference_file,reference_top,candidate_top,reference_precheck,candidate_precheck,interface_status,formal_status,proof_type,reason_bucket,reason,interface_reason_kind,interface_reason,interface_aliases_applied,counterexample_summary,counterexample_json
yosys,claude,mips_EX_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_EX_stage/mips_EX_stage_t1.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/EX_stage/EX_stage.v,EX_stage,EX_stage,pass,pass,compatible,tool_limited,bounded_seq,license_or_tool_error,ERROR: Failed to import cell $flatten\gate.\alu_inst.$display$0x556c2e0cbe50:45$139 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,claude,mips_EX_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_EX_stage/mips_EX_stage_t2.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/EX_stage/EX_stage.v,EX_stage,EX_stage,pass,pass,compatible,tool_limited,bounded_seq,license_or_tool_error,ERROR: Failed to import cell $flatten\gate.\alu_inst.$display$0x55988fed0e60:45$139 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,claude,mips_EX_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_EX_stage/mips_EX_stage_t3.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/EX_stage/EX_stage.v,EX_stage,EX_stage,pass,pass,compatible,tool_limited,bounded_seq,license_or_tool_error,ERROR: Failed to import cell $flatten\gate.\alu_inst.$display$0x56332e2b28d0:45$139 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,claude,mips_EX_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_EX_stage/mips_EX_stage_t4.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/EX_stage/EX_stage.v,EX_stage,EX_stage,pass,pass,compatible,tool_limited,bounded_seq,license_or_tool_error,ERROR: Failed to import cell $flatten\gate.\alu_inst.$display$0x563b0c1c5e50:45$139 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,claude,mips_EX_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_EX_stage/mips_EX_stage_t5.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/EX_stage/EX_stage.v,EX_stage,EX_stage,pass,fail,skip,skip,bounded_seq,precheck_fail,Candidate precheck failed: ERROR: Module `alu' referenced in module `EX_stage' in cell `alu_inst' does not have a port named 'alu_result'.,,,[],,
yosys,codex,mips_EX_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_EX_stage/mips_EX_stage_t1.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/EX_stage/EX_stage.v,EX_stage,EX_stage,pass,pass,compatible,tool_limited,bounded_seq,license_or_tool_error,ERROR: Failed to import cell $flatten\gold.\alu_inst.$display$0x55f895e395b0:45$41 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,codex,mips_EX_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_EX_stage/mips_EX_stage_t2.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/EX_stage/EX_stage.v,EX_stage,EX_stage,pass,pass,compatible,tool_limited,bounded_seq,license_or_tool_error,ERROR: Failed to import cell $flatten\gold.\alu_inst.$display$0x55eaadd705b0:45$41 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,codex,mips_EX_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_EX_stage/mips_EX_stage_t3.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/EX_stage/EX_stage.v,EX_stage,EX_stage,pass,pass,compatible,tool_limited,bounded_seq,license_or_tool_error,ERROR: Failed to import cell $flatten\gold.\alu_inst.$display$0x5566457ec5b0:45$41 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,codex,mips_EX_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_EX_stage/mips_EX_stage_t4.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/EX_stage/EX_stage.v,EX_stage,EX_stage,pass,pass,compatible,tool_limited,bounded_seq,license_or_tool_error,ERROR: Failed to import cell $flatten\gold.\alu_inst.$display$0x555f005865b0:45$41 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,codex,mips_EX_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_EX_stage/mips_EX_stage_t5.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/EX_stage/EX_stage.v,EX_stage,EX_stage,pass,pass,compatible,tool_limited,bounded_seq,license_or_tool_error,ERROR: Failed to import cell $flatten\gold.\alu_inst.$display$0x563fa76d65b0:45$41 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,deepseek,mips_EX_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/deepseek/mips_EX_stage/mips_EX_stage_t1.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/EX_stage/EX_stage.v,EX_stage,EX_stage,pass,fail,skip,skip,bounded_seq,precheck_fail,Candidate precheck failed: ERROR: Module `alu' referenced in module `EX_stage' in cell `alu_inst' does not have a port named 'alu_result'.,,,[],,
yosys,deepseek,mips_EX_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/deepseek/mips_EX_stage/mips_EX_stage_t2.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/EX_stage/EX_stage.v,EX_stage,EX_stage,pass,fail,skip,skip,bounded_seq,precheck_fail,Candidate precheck failed: ERROR: Module `alu' referenced in module `EX_stage' in cell `alu_inst' does not have a port named 'alu_result'.,,,[],,
yosys,deepseek,mips_EX_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/deepseek/mips_EX_stage/mips_EX_stage_t3.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/EX_stage/EX_stage.v,EX_stage,EX_stage,pass,fail,skip,skip,bounded_seq,precheck_fail,Candidate precheck failed: ERROR: Module `alu' referenced in module `EX_stage' in cell `alu_inst' does not have a port named 'alu_result'.,,,[],,
