backend,model,module_dir,candidate_file,reference_file,reference_top,candidate_top,reference_precheck,candidate_precheck,interface_status,formal_status,proof_type,reason_bucket,reason,interface_reason_kind,interface_reason,interface_aliases_applied,counterexample_summary,counterexample_json
yosys,claude,mips_ID_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_ID_stage/mips_ID_stage_t1.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/ID_stage/ID_stage.v,ID_stage,ID_stage,pass,pass,compatible,tool_limited,bounded_seq,license_or_tool_error,ERROR: Failed to import cell $flatten\gold.$display$0x55d7daf06c00:206$8 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,claude,mips_ID_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_ID_stage/mips_ID_stage_t2.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/ID_stage/ID_stage.v,ID_stage,ID_stage,pass,fail,skip,skip,bounded_seq,precheck_fail,Candidate precheck failed: /hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_ID_stage/mips_ID_stage_t2.v:151: ERROR: Unimplemented compiler directive or undefined macro `WB_FROM_ALU.,,,[],,
yosys,claude,mips_ID_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_ID_stage/mips_ID_stage_t3.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/ID_stage/ID_stage.v,ID_stage,ID_stage,pass,pass,compatible,tool_limited,bounded_seq,license_or_tool_error,ERROR: Failed to import cell $flatten\gold.$display$0x56349a0fec00:206$8 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,claude,mips_ID_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_ID_stage/mips_ID_stage_t4.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/ID_stage/ID_stage.v,ID_stage,ID_stage,pass,pass,compatible,tool_limited,bounded_seq,license_or_tool_error,ERROR: Failed to import cell $flatten\gold.$display$0x561a86dcdc00:206$8 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,claude,mips_ID_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_ID_stage/mips_ID_stage_t5.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/ID_stage/ID_stage.v,ID_stage,ID_stage,pass,pass,compatible,tool_limited,bounded_seq,license_or_tool_error,ERROR: Failed to import cell $flatten\gold.$display$0x5604a6a07c00:206$8 (type $print) to SAT database.,port_order_only,ignored port declaration order differences,[],,
yosys,codex,mips_ID_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_ID_stage/mips_ID_stage_t1.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/ID_stage/ID_stage.v,ID_stage,ID_stage,pass,pass,compatible,tool_limited,bounded_seq,license_or_tool_error,ERROR: Failed to import cell $flatten\gold.$display$0x561d2644fc00:206$8 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,codex,mips_ID_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_ID_stage/mips_ID_stage_t2.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/ID_stage/ID_stage.v,ID_stage,ID_stage,pass,pass,compatible,tool_limited,bounded_seq,license_or_tool_error,ERROR: Failed to import cell $flatten\gold.$display$0x55d9f67d5c00:206$8 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,codex,mips_ID_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_ID_stage/mips_ID_stage_t3.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/ID_stage/ID_stage.v,ID_stage,ID_stage,pass,pass,compatible,tool_limited,bounded_seq,license_or_tool_error,ERROR: Failed to import cell $flatten\gold.$display$0x55e2746e6c00:206$8 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,codex,mips_ID_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_ID_stage/mips_ID_stage_t4.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/ID_stage/ID_stage.v,ID_stage,ID_stage,pass,pass,compatible,tool_limited,bounded_seq,license_or_tool_error,ERROR: Failed to import cell $flatten\gold.$display$0x55eedb07bc00:206$8 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,codex,mips_ID_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_ID_stage/mips_ID_stage_t5.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/ID_stage/ID_stage.v,ID_stage,ID_stage,pass,pass,compatible,tool_limited,bounded_seq,license_or_tool_error,ERROR: Failed to import cell $flatten\gold.$display$0x55c02a04bc00:206$8 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,deepseek,mips_ID_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/deepseek/mips_ID_stage/mips_ID_stage_t1.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/ID_stage/ID_stage.v,ID_stage,ID_stage,pass,pass,compatible,tool_limited,bounded_seq,license_or_tool_error,ERROR: Failed to import cell $flatten\gold.$display$0x55ee32910c00:206$8 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,deepseek,mips_ID_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/deepseek/mips_ID_stage/mips_ID_stage_t2.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/ID_stage/ID_stage.v,ID_stage,ID_stage,pass,pass,compatible,tool_limited,bounded_seq,license_or_tool_error,ERROR: Failed to import cell $flatten\gold.$display$0x5612993a9c00:206$8 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,deepseek,mips_ID_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/deepseek/mips_ID_stage/mips_ID_stage_t3.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/ID_stage/ID_stage.v,ID_stage,ID_stage,pass,pass,compatible,tool_limited,bounded_seq,license_or_tool_error,ERROR: Failed to import cell $flatten\gold.$display$0x5638444d2c00:206$8 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,deepseek,mips_ID_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/deepseek/mips_ID_stage/mips_ID_stage_t4.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/ID_stage/ID_stage.v,ID_stage,ID_stage,pass,pass,compatible,tool_limited,bounded_seq,license_or_tool_error,ERROR: Failed to import cell $flatten\gold.$display$0x5619f60d6c00:206$8 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,deepseek,mips_ID_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/deepseek/mips_ID_stage/mips_ID_stage_t5.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/ID_stage/ID_stage.v,ID_stage,ID_stage,pass,pass,compatible,tool_limited,bounded_seq,license_or_tool_error,ERROR: Failed to import cell $flatten\gold.$display$0x5592fa195c00:206$8 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
