backend,model,module_dir,candidate_file,reference_file,reference_top,candidate_top,reference_precheck,candidate_precheck,interface_status,formal_status,proof_type,reason_bucket,reason,interface_reason_kind,interface_reason,interface_aliases_applied,counterexample_summary,counterexample_json
yosys,claude,mips_MEM_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_MEM_stage/mips_MEM_stage_t1.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/MEM_stage/MEM_stage.v,MEM_stage,MEM_stage,pass,pass,compatible,tool_limited,bounded_seq,tool_timeout,Timeout after 120s,exact_match,normalized interface matches exactly,[],,
yosys,claude,mips_MEM_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_MEM_stage/mips_MEM_stage_t2.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/MEM_stage/MEM_stage.v,MEM_stage,MEM_stage,pass,pass,compatible,tool_limited,bounded_seq,tool_timeout,Timeout after 120s,exact_match,normalized interface matches exactly,[],,
yosys,claude,mips_MEM_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_MEM_stage/mips_MEM_stage_t3.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/MEM_stage/MEM_stage.v,MEM_stage,MEM_stage,pass,pass,compatible,tool_limited,bounded_seq,tool_timeout,Timeout after 120s,exact_match,normalized interface matches exactly,[],,
yosys,claude,mips_MEM_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_MEM_stage/mips_MEM_stage_t4.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/MEM_stage/MEM_stage.v,MEM_stage,MEM_stage,pass,pass,compatible,tool_limited,bounded_seq,tool_timeout,Timeout after 120s,exact_match,normalized interface matches exactly,[],,
yosys,claude,mips_MEM_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_MEM_stage/mips_MEM_stage_t5.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/MEM_stage/MEM_stage.v,MEM_stage,MEM_stage,pass,pass,compatible,tool_limited,bounded_seq,tool_timeout,Timeout after 120s,exact_match,normalized interface matches exactly,[],,
yosys,codex,mips_MEM_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_MEM_stage/mips_MEM_stage_t1.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/MEM_stage/MEM_stage.v,MEM_stage,MEM_stage,pass,pass,compatible,tool_limited,bounded_seq,tool_timeout,Timeout after 120s,exact_match,normalized interface matches exactly,[],,
yosys,codex,mips_MEM_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_MEM_stage/mips_MEM_stage_t2.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/MEM_stage/MEM_stage.v,MEM_stage,MEM_stage,pass,pass,compatible,tool_limited,bounded_seq,tool_timeout,Timeout after 120s,exact_match,normalized interface matches exactly,[],,
yosys,codex,mips_MEM_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_MEM_stage/mips_MEM_stage_t3.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/MEM_stage/MEM_stage.v,MEM_stage,MEM_stage,pass,pass,compatible,tool_limited,bounded_seq,tool_timeout,Timeout after 120s,exact_match,normalized interface matches exactly,[],,
yosys,codex,mips_MEM_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_MEM_stage/mips_MEM_stage_t4.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/MEM_stage/MEM_stage.v,MEM_stage,MEM_stage,pass,pass,compatible,tool_limited,bounded_seq,tool_timeout,Timeout after 120s,exact_match,normalized interface matches exactly,[],,
yosys,codex,mips_MEM_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_MEM_stage/mips_MEM_stage_t5.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/MEM_stage/MEM_stage.v,MEM_stage,MEM_stage,pass,pass,compatible,tool_limited,bounded_seq,tool_timeout,Timeout after 120s,exact_match,normalized interface matches exactly,[],,
yosys,deepseek,mips_MEM_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/deepseek/mips_MEM_stage/mips_MEM_stage_t1.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/MEM_stage/MEM_stage.v,MEM_stage,MEM_stage,pass,pass,compatible,tool_limited,bounded_seq,tool_timeout,Timeout after 120s,exact_match,normalized interface matches exactly,[],,
yosys,deepseek,mips_MEM_stage,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/deepseek/mips_MEM_stage/mips_MEM_stage_t2.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/MEM_stage/MEM_stage.v,MEM_stage,MEM_stage,pass,pass,compatible,tool_limited,bounded_seq,tool_timeout,Timeout after 120s,exact_match,normalized interface matches exactly,[],,
