backend,model,module_dir,candidate_file,reference_file,reference_top,candidate_top,reference_precheck,candidate_precheck,interface_status,formal_status,proof_type,reason_bucket,reason,interface_reason_kind,interface_reason,interface_aliases_applied,counterexample_summary,counterexample_json
yosys,claude,mips_alu,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_alu/mips_alu_t1.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/alu/alu.v,alu,alu,pass,fail,skip,skip,strict_comb,precheck_fail,Candidate precheck failed: /hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_alu/mips_alu_t1.v:24: ERROR: Failed to resolve identifier \ALU_ADD for width detection!,,,[],,
yosys,claude,mips_alu,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_alu/mips_alu_t2.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/alu/alu.v,alu,alu,pass,pass,compatible,tool_limited,strict_comb,license_or_tool_error,ERROR: Failed to import cell $flatten\gate.$display$0x55c9191b4270:82$99 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,claude,mips_alu,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_alu/mips_alu_t3.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/alu/alu.v,alu,alu,pass,pass,compatible,tool_limited,strict_comb,license_or_tool_error,ERROR: Failed to import cell $flatten\gate.$display$0x559dc49ae270:63$99 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,claude,mips_alu,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_alu/mips_alu_t4.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/alu/alu.v,alu,alu,pass,pass,compatible,tool_limited,strict_comb,license_or_tool_error,ERROR: Failed to import cell $flatten\gate.$display$0x564a051db270:91$99 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,claude,mips_alu,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_alu/mips_alu_t5.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/alu/alu.v,alu,alu,pass,pass,compatible,tool_limited,strict_comb,license_or_tool_error,ERROR: Failed to import cell $flatten\gate.$display$0x5608fbd28270:88$99 (type $print) to SAT database.,width_equivalent,normalized width expressions: cmd ([2:0] vs [ 2:0] -> 3 bits),[],,
yosys,codex,mips_alu,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_alu/mips_alu_t1.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/alu/alu.v,alu,alu,pass,pass,compatible,tool_limited,strict_comb,license_or_tool_error,ERROR: Failed to import cell $flatten\gate.$display$0x55d20fc82270:34$101 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,codex,mips_alu,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_alu/mips_alu_t2.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/alu/alu.v,alu,alu,pass,pass,compatible,tool_limited,strict_comb,license_or_tool_error,ERROR: Failed to import cell $flatten\gate.$display$0x558eec6a3270:36$100 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,codex,mips_alu,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_alu/mips_alu_t3.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/alu/alu.v,alu,alu,pass,pass,compatible,tool_limited,strict_comb,license_or_tool_error,ERROR: Failed to import cell $flatten\gate.$display$0x55ac6f752270:33$99 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,codex,mips_alu,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_alu/mips_alu_t4.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/alu/alu.v,alu,alu,pass,pass,compatible,tool_limited,strict_comb,license_or_tool_error,ERROR: Failed to import cell $flatten\gate.$display$0x5595aaf1d270:33$99 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,codex,mips_alu,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_alu/mips_alu_t5.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/alu/alu.v,alu,alu,pass,fail,skip,skip,strict_comb,precheck_fail,"Candidate precheck failed: /hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_alu/mips_alu_t5.v:29: ERROR: syntax error, unexpected '['",,,[],,
