backend,model,module_dir,candidate_file,reference_file,reference_top,candidate_top,reference_precheck,candidate_precheck,interface_status,formal_status,proof_type,reason_bucket,reason,interface_reason_kind,interface_reason,interface_aliases_applied,counterexample_summary,counterexample_json
yosys,claude,mips_hazard_detection_unit,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_hazard_detection_unit/mips_hazard_detection_unit_t1.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/hazard_detection_unit/hazard_detection_unit.v,hazard_detection_unit,hazard_detection_unit,pass,pass,compatible,equivalent,strict_comb,equivalent,Strict combinational proof passed,exact_match,normalized interface matches exactly,[],,
yosys,claude,mips_hazard_detection_unit,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_hazard_detection_unit/mips_hazard_detection_unit_t2.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/hazard_detection_unit/hazard_detection_unit.v,hazard_detection_unit,hazard_detection_unit,pass,pass,compatible,equivalent,strict_comb,equivalent,Strict combinational proof passed,exact_match,normalized interface matches exactly,[],,
yosys,claude,mips_hazard_detection_unit,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_hazard_detection_unit/mips_hazard_detection_unit_t3.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/hazard_detection_unit/hazard_detection_unit.v,hazard_detection_unit,hazard_detection_unit,pass,pass,compatible,equivalent,strict_comb,equivalent,Strict combinational proof passed,exact_match,normalized interface matches exactly,[],,
yosys,claude,mips_hazard_detection_unit,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_hazard_detection_unit/mips_hazard_detection_unit_t4.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/hazard_detection_unit/hazard_detection_unit.v,hazard_detection_unit,hazard_detection_unit,pass,pass,compatible,equivalent,strict_comb,equivalent,Strict combinational proof passed,exact_match,normalized interface matches exactly,[],,
yosys,claude,mips_hazard_detection_unit,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_hazard_detection_unit/mips_hazard_detection_unit_t5.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/hazard_detection_unit/hazard_detection_unit.v,hazard_detection_unit,hazard_detection_unit,pass,pass,compatible,equivalent,strict_comb,equivalent,Strict combinational proof passed,exact_match,normalized interface matches exactly,[],,
yosys,codex,mips_hazard_detection_unit,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_hazard_detection_unit/mips_hazard_detection_unit_t1.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/hazard_detection_unit/hazard_detection_unit.v,hazard_detection_unit,hazard_detection_unit,pass,pass,compatible,equivalent,strict_comb,equivalent,Strict combinational proof passed,exact_match,normalized interface matches exactly,[],,
yosys,codex,mips_hazard_detection_unit,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_hazard_detection_unit/mips_hazard_detection_unit_t2.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/hazard_detection_unit/hazard_detection_unit.v,hazard_detection_unit,hazard_detection_unit,pass,pass,compatible,equivalent,strict_comb,equivalent,Strict combinational proof passed,exact_match,normalized interface matches exactly,[],,
yosys,codex,mips_hazard_detection_unit,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_hazard_detection_unit/mips_hazard_detection_unit_t3.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/hazard_detection_unit/hazard_detection_unit.v,hazard_detection_unit,hazard_detection_unit,pass,pass,compatible,equivalent,strict_comb,equivalent,Strict combinational proof passed,exact_match,normalized interface matches exactly,[],,
yosys,codex,mips_hazard_detection_unit,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_hazard_detection_unit/mips_hazard_detection_unit_t4.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/hazard_detection_unit/hazard_detection_unit.v,hazard_detection_unit,hazard_detection_unit,pass,pass,compatible,equivalent,strict_comb,equivalent,Strict combinational proof passed,exact_match,normalized interface matches exactly,[],,
yosys,codex,mips_hazard_detection_unit,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_hazard_detection_unit/mips_hazard_detection_unit_t5.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/hazard_detection_unit/hazard_detection_unit.v,hazard_detection_unit,hazard_detection_unit,pass,pass,compatible,equivalent,strict_comb,equivalent,Strict combinational proof passed,exact_match,normalized interface matches exactly,[],,
yosys,deepseek,mips_hazard_detection_unit,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/deepseek/mips_hazard_detection_unit/mips_hazard_detection_unit_t1.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/hazard_detection_unit/hazard_detection_unit.v,hazard_detection_unit,hazard_detection_unit,pass,pass,compatible,equivalent,strict_comb,equivalent,Strict combinational proof passed,exact_match,normalized interface matches exactly,[],,
yosys,deepseek,mips_hazard_detection_unit,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/deepseek/mips_hazard_detection_unit/mips_hazard_detection_unit_t2.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/hazard_detection_unit/hazard_detection_unit.v,hazard_detection_unit,hazard_detection_unit,pass,pass,compatible,equivalent,strict_comb,equivalent,Strict combinational proof passed,exact_match,normalized interface matches exactly,[],,
