backend,model,module_dir,candidate_file,reference_file,reference_top,candidate_top,reference_precheck,candidate_precheck,interface_status,formal_status,proof_type,reason_bucket,reason,interface_reason_kind,interface_reason,interface_aliases_applied,counterexample_summary,counterexample_json
yosys,claude,mips_instruction_mem,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_instruction_mem/mips_instruction_mem_t1.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/instruction_mem/instruction_mem.v,instruction_mem,instruction_mem,pass,pass,compatible,equivalent,bounded_seq,equivalent,Bounded proof passed within 8 cycles,exact_match,normalized interface matches exactly,[],,
yosys,claude,mips_instruction_mem,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_instruction_mem/mips_instruction_mem_t2.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/instruction_mem/instruction_mem.v,instruction_mem,instruction_mem,pass,pass,compatible,equivalent,bounded_seq,equivalent,Bounded proof passed within 8 cycles,exact_match,normalized interface matches exactly,[],,
yosys,claude,mips_instruction_mem,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_instruction_mem/mips_instruction_mem_t3.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/instruction_mem/instruction_mem.v,instruction_mem,instruction_mem,pass,fail,skip,skip,bounded_seq,precheck_fail,Candidate precheck failed: /hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_instruction_mem/mips_instruction_mem_t3.v:14: ERROR: Unimplemented compiler directive or undefined macro `INST_MEM_ADDR_WIDTH.,,,[],,
yosys,claude,mips_instruction_mem,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_instruction_mem/mips_instruction_mem_t4.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/instruction_mem/instruction_mem.v,instruction_mem,instruction_mem,pass,pass,compatible,equivalent,bounded_seq,equivalent,Bounded proof passed within 8 cycles,exact_match,normalized interface matches exactly,[],,
yosys,claude,mips_instruction_mem,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_instruction_mem/mips_instruction_mem_t5.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/instruction_mem/instruction_mem.v,instruction_mem,instruction_mem,pass,pass,compatible,equivalent,bounded_seq,equivalent,Bounded proof passed within 8 cycles,exact_match,normalized interface matches exactly,[],,
yosys,codex,mips_instruction_mem,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_instruction_mem/mips_instruction_mem_t1.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/instruction_mem/instruction_mem.v,instruction_mem,instruction_mem,pass,pass,compatible,not_equivalent,bounded_seq,not_equivalent,找到反例，候选设计与参考设计不等价,exact_match,normalized interface matches exactly,[],step 1 failed,"{""failing_step"": 1, ""mismatch_outputs"": {}, ""trace"": [{""step"": 1, ""trigger"": ""1"", ""inputs"": {""clk"": {""bin"": ""0"", ""hex"": ""0x0""}, ""pc"": {""bin"": ""00000000"", ""hex"": ""0x00""}}, ""gold_outputs"": {""instruction"": {""bin"": ""0000000000000000"", ""hex"": ""0x0000""}}, ""gate_outputs"": {""instruction"": {""bin"": ""0000000000000000"", ""hex"": ""0x0000""}}}, {""step"": 2, ""trigger"": ""1"", ""inputs"": {""clk"": {""bin"": ""0"", ""hex"": ""0x0""}, ""pc"": {""bin"": ""00000000"", ""hex"": ""0x00""}}, ""gold_outputs"": {""instruction"": {""bin"": ""0000000000000000"", ""hex"": ""0x0000""}}, ""gate_outputs"": {""instruction"": {""bin"": ""0000000000000000"", ""hex"": ""0x0000""}}}, {""step"": 3, ""trigger"": ""1"", ""inputs"": {""clk"": {""bin"": ""0"", ""hex"": ""0x0""}, ""pc"": {""bin"": ""00000000"", ""hex"": ""0x00""}}, ""gold_outputs"": {""instruction"": {""bin"": ""0000000000000000"", ""hex"": ""0x0000""}}, ""gate_outputs"": {""instruction"": {""bin"": ""0000000000000000"", ""hex"": ""0x0000""}}}, {""step"": 4, ""trigger"": ""1"", ""inputs"": {""clk"": {""bin"": ""0"", ""hex"": ""0x0""}, ""pc"": {""bin"": ""00000000"", ""hex"": ""0x00""}}, ""gold_outputs"": {""instruction"": {""bin"": ""0000000000000000"", ""hex"": ""0x0000""}}, ""gate_outputs"": {""instruction"": {""bin"": ""0000000000000000"", ""hex"": ""0x0000""}}}, {""step"": 5, ""trigger"": ""1"", ""inputs"": {""clk"": {""bin"": ""0"", ""hex"": ""0x0""}, ""pc"": {""bin"": ""00000000"", ""hex"": ""0x00""}}, ""gold_outputs"": {""instruction"": {""bin"": ""0000000000000000"", ""hex"": ""0x0000""}}, ""gate_outputs"": {""instruction"": {""bin"": ""0000000000000000"", ""hex"": ""0x0000""}}}, {""step"": 6, ""trigger"": ""1"", ""inputs"": {""clk"": {""bin"": ""0"", ""hex"": ""0x0""}, ""pc"": {""bin"": ""00000000"", ""hex"": ""0x00""}}, ""gold_outputs"": {""instruction"": {""bin"": ""0000000000000000"", ""hex"": ""0x0000""}}, ""gate_outputs"": {""instruction"": {""bin"": ""0000000000000000"", ""hex"": ""0x0000""}}}, {""step"": 7, ""trigger"": ""1"", ""inputs"": {""clk"": {""bin"": ""0"", ""hex"": ""0x0""}, ""pc"": {""bin"": ""00000000"", ""hex"": ""0x00""}}, ""gold_outputs"": {""instruction"": {""bin"": ""0000000000000000"", ""hex"": ""0x0000""}}, ""gate_outputs"": {""instruction"": {""bin"": ""0000000000000000"", ""hex"": ""0x0000""}}}, {""step"": 8, ""trigger"": ""1"", ""inputs"": {""clk"": {""bin"": ""0"", ""hex"": ""0x0""}, ""pc"": {""bin"": ""00000000"", ""hex"": ""0x00""}}, ""gold_outputs"": {""instruction"": {""bin"": ""0000000000000000"", ""hex"": ""0x0000""}}, ""gate_outputs"": {""instruction"": {""bin"": ""0000000000000000"", ""hex"": ""0x0000""}}}]}"
yosys,codex,mips_instruction_mem,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_instruction_mem/mips_instruction_mem_t2.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/instruction_mem/instruction_mem.v,instruction_mem,instruction_mem,pass,pass,compatible,not_equivalent,bounded_seq,not_equivalent,找到反例，候选设计与参考设计不等价,exact_match,normalized interface matches exactly,[],,
yosys,codex,mips_instruction_mem,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_instruction_mem/mips_instruction_mem_t3.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/instruction_mem/instruction_mem.v,instruction_mem,instruction_mem,pass,pass,compatible,not_equivalent,bounded_seq,not_equivalent,找到反例，候选设计与参考设计不等价,exact_match,normalized interface matches exactly,[],,
yosys,codex,mips_instruction_mem,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_instruction_mem/mips_instruction_mem_t4.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/instruction_mem/instruction_mem.v,instruction_mem,instruction_mem,pass,pass,compatible,not_equivalent,bounded_seq,not_equivalent,找到反例，候选设计与参考设计不等价,exact_match,normalized interface matches exactly,[],,
yosys,codex,mips_instruction_mem,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_instruction_mem/mips_instruction_mem_t5.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/instruction_mem/instruction_mem.v,instruction_mem,instruction_mem,pass,pass,compatible,equivalent,bounded_seq,equivalent,Bounded proof passed within 8 cycles,exact_match,normalized interface matches exactly,[],,
