backend,model,module_dir,candidate_file,reference_file,reference_top,candidate_top,reference_precheck,candidate_precheck,interface_status,formal_status,proof_type,reason_bucket,reason,interface_reason_kind,interface_reason,interface_aliases_applied,counterexample_summary,counterexample_json
yosys,claude,mips_mips_16_core_top,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_mips_16_core_top/mips_mips_16_core_top_t1.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/mips_16_core_top/mips_16_core_top.v,mips_16_core_top,mips_16_core_top,pass,pass,compatible,tool_limited,bounded_seq,license_or_tool_error,ERROR: Failed to import cell $flatten\gate.\ex_stage_inst.\alu_inst.$display$0x56176ee86aa0:45$22876 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,claude,mips_mips_16_core_top,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_mips_16_core_top/mips_mips_16_core_top_t2.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/mips_16_core_top/mips_16_core_top.v,mips_16_core_top,mips_16_core_top,pass,fail,skip,skip,bounded_seq,precheck_fail,Candidate precheck failed: ERROR: Module `register_file' referenced in module `mips_16_core_top' in cell `reg_file' does not have a port named 'write_data'.,,,[],,
yosys,claude,mips_mips_16_core_top,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_mips_16_core_top/mips_mips_16_core_top_t3.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/mips_16_core_top/mips_16_core_top.v,mips_16_core_top,mips_16_core_top,pass,pass,compatible,tool_limited,bounded_seq,license_or_tool_error,ERROR: Failed to import cell $flatten\gate.\ex_stage_inst.\alu_inst.$display$0x55b7c9a53950:45$22876 (type $print) to SAT database.,exact_match,normalized interface matches exactly,[],,
yosys,claude,mips_mips_16_core_top,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_mips_16_core_top/mips_mips_16_core_top_t4.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/mips_16_core_top/mips_16_core_top.v,mips_16_core_top,mips_16_core_top,pass,fail,skip,skip,bounded_seq,precheck_fail,Candidate precheck failed: ERROR: Module `register_file' referenced in module `mips_16_core_top' in cell `u_register_file' does not have a port named 'reg_read_data2'.,,,[],,
yosys,claude,mips_mips_16_core_top,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/mips_mips_16_core_top/mips_mips_16_core_top_t5.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/mips_16_core_top/mips_16_core_top.v,mips_16_core_top,mips_16_core_top,pass,fail,skip,skip,bounded_seq,precheck_fail,Candidate precheck failed: ERROR: Module `register_file' referenced in module `mips_16_core_top' in cell `u_register_file' does not have a port named 'reg_read_data2'.,,,[],,
yosys,codex,mips_mips_16_core_top,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_mips_16_core_top/mips_mips_16_core_top_t1.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/mips_16_core_top/mips_16_core_top.v,mips_16_core_top,mips_16_core_top,pass,fail,skip,skip,bounded_seq,precheck_fail,Candidate precheck failed: ERROR: Module `WB_stage' referenced in module `mips_16_core_top' in cell `u_wb_stage' does not have a port named 'MEM_pipeline_reg_out'.,,,[],,
yosys,codex,mips_mips_16_core_top,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_mips_16_core_top/mips_mips_16_core_top_t2.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/mips_16_core_top/mips_16_core_top.v,mips_16_core_top,mips_16_core_top,pass,fail,skip,skip,bounded_seq,precheck_fail,Candidate precheck failed: ERROR: Module `register_file' referenced in module `mips_16_core_top' in cell `u_register_file' does not have a port named 'reg_read_data2'.,,,[],,
yosys,codex,mips_mips_16_core_top,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_mips_16_core_top/mips_mips_16_core_top_t3.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/mips_16_core_top/mips_16_core_top.v,mips_16_core_top,mips_16_core_top,pass,fail,skip,skip,bounded_seq,precheck_fail,Candidate precheck failed: ERROR: Module `register_file' referenced in module `mips_16_core_top' in cell `u_register_file' does not have a port named 'write_data'.,,,[],,
yosys,codex,mips_mips_16_core_top,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_mips_16_core_top/mips_mips_16_core_top_t4.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/mips_16_core_top/mips_16_core_top.v,mips_16_core_top,mips_16_core_top,pass,fail,skip,skip,bounded_seq,precheck_fail,Candidate precheck failed: ERROR: Module `register_file' referenced in module `mips_16_core_top' in cell `u_register_file' does not have a port named 'reg_read_data2'.,,,[],,
yosys,codex,mips_mips_16_core_top,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_mips_16_core_top/mips_mips_16_core_top_t5.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/mips_16_core_top/mips_16_core_top.v,mips_16_core_top,mips_16_core_top,pass,fail,skip,skip,bounded_seq,precheck_fail,Candidate precheck failed: /hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/mips_mips_16_core_top/mips_mips_16_core_top_t5.v:10: ERROR: Unimplemented compiler directive or undefined macro `DATA_WIDTH.,,,[],,
yosys,deepseek,mips_mips_16_core_top,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/deepseek/mips_mips_16_core_top/mips_mips_16_core_top_t1.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/mips_16_core_top/mips_16_core_top.v,mips_16_core_top,mips_16_core_top,pass,fail,skip,skip,bounded_seq,precheck_fail,Candidate precheck failed: ERROR: Module `WB_stage' referenced in module `mips_16_core_top' in cell `u_WB_stage' does not have a port named 'MEM_pipeline_reg_in'.,,,[],,
yosys,deepseek,mips_mips_16_core_top,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/deepseek/mips_mips_16_core_top/mips_mips_16_core_top_t2.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/mips_16_core_top/mips_16_core_top.v,mips_16_core_top,mips_16_core_top,pass,fail,skip,skip,bounded_seq,precheck_fail,Candidate precheck failed: ERROR: Module `register_file' referenced in module `mips_16_core_top' in cell `u_register_file' does not have a port named 'write_data'.,,,[],,
yosys,deepseek,mips_mips_16_core_top,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/deepseek/mips_mips_16_core_top/mips_mips_16_core_top_t3.v,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Src/mips_16/des/mips_16_core_top/mips_16_core_top.v,mips_16_core_top,mips_16_core_top,pass,fail,skip,skip,bounded_seq,precheck_fail,Candidate precheck failed: ERROR: Module `register_file' referenced in module `mips_16_core_top' in cell `u_register_file' does not have a port named 'reg_read_data2'.,,,[],,
