backend,model,module_dir,candidate_file,reference_file,reference_top,candidate_top,reference_precheck,candidate_precheck,interface_status,formal_status,proof_type,reason_bucket,reason,interface_reason_kind,interface_reason,interface_aliases_applied,counterexample_summary,counterexample_json
yosys,claude,or1200_cfgr,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/or1200_cfgr/or1200_cfgr_t1.v,/tmp/or1200_equiv_ref_7neg_m48/verilog/or1200_cfgr.v,or1200_cfgr,or1200_cfgr,pass,pass,compatible,equivalent,strict_comb,equivalent,Strict combinational proof passed,exact_match,normalized interface matches exactly,[],,
yosys,claude,or1200_cfgr,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/or1200_cfgr/or1200_cfgr_t2.v,/tmp/or1200_equiv_ref_7neg_m48/verilog/or1200_cfgr.v,or1200_cfgr,or1200_cfgr,pass,pass,compatible,not_equivalent,strict_comb,not_equivalent,找到反例，候选设计与参考设计不等价,exact_match,normalized interface matches exactly,[],step 1 failed,"{""failing_step"": 1, ""mismatch_outputs"": {""spr_dat_o"": {""gold"": {""bin"": ""00000000000000000000000000100000"", ""hex"": ""0x00000020""}, ""gate"": {""bin"": ""00000000000000000000000000000000"", ""hex"": ""0x00000000""}}}, ""trace"": [{""step"": 1, ""trigger"": ""1"", ""inputs"": {""spr_addr"": {""bin"": ""00000000000000000000000000000010"", ""hex"": ""0x00000002""}}, ""gold_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000100000"", ""hex"": ""0x00000020""}}, ""gate_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000000000"", ""hex"": ""0x00000000""}}}, {""step"": 2, ""trigger"": ""1"", ""inputs"": {""spr_addr"": {""bin"": ""00000000000000000000000000000010"", ""hex"": ""0x00000002""}}, ""gold_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000100000"", ""hex"": ""0x00000020""}}, ""gate_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000000000"", ""hex"": ""0x00000000""}}}, {""step"": 3, ""trigger"": ""1"", ""inputs"": {""spr_addr"": {""bin"": ""00000000000000000000000000000010"", ""hex"": ""0x00000002""}}, ""gold_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000100000"", ""hex"": ""0x00000020""}}, ""gate_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000000000"", ""hex"": ""0x00000000""}}}, {""step"": 4, ""trigger"": ""1"", ""inputs"": {""spr_addr"": {""bin"": ""00000000000000000000000000000010"", ""hex"": ""0x00000002""}}, ""gold_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000100000"", ""hex"": ""0x00000020""}}, ""gate_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000000000"", ""hex"": ""0x00000000""}}}, {""step"": 5, ""trigger"": ""1"", ""inputs"": {""spr_addr"": {""bin"": ""00000000000000000000000000000010"", ""hex"": ""0x00000002""}}, ""gold_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000100000"", ""hex"": ""0x00000020""}}, ""gate_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000000000"", ""hex"": ""0x00000000""}}}, {""step"": 6, ""trigger"": ""1"", ""inputs"": {""spr_addr"": {""bin"": ""00000000000000000000000000000010"", ""hex"": ""0x00000002""}}, ""gold_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000100000"", ""hex"": ""0x00000020""}}, ""gate_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000000000"", ""hex"": ""0x00000000""}}}, {""step"": 7, ""trigger"": ""1"", ""inputs"": {""spr_addr"": {""bin"": ""00000000000000000000000000000010"", ""hex"": ""0x00000002""}}, ""gold_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000100000"", ""hex"": ""0x00000020""}}, ""gate_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000000000"", ""hex"": ""0x00000000""}}}, {""step"": 8, ""trigger"": ""1"", ""inputs"": {""spr_addr"": {""bin"": ""00000000000000000000000000000010"", ""hex"": ""0x00000002""}}, ""gold_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000100000"", ""hex"": ""0x00000020""}}, ""gate_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000000000"", ""hex"": ""0x00000000""}}}]}"
yosys,claude,or1200_cfgr,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/or1200_cfgr/or1200_cfgr_t3.v,/tmp/or1200_equiv_ref_7neg_m48/verilog/or1200_cfgr.v,or1200_cfgr,or1200_cfgr,pass,pass,compatible,not_equivalent,strict_comb,not_equivalent,找到反例，候选设计与参考设计不等价,exact_match,normalized interface matches exactly,[],step 1 failed,"{""failing_step"": 1, ""mismatch_outputs"": {""spr_dat_o"": {""gold"": {""bin"": ""00000000000000000000000000100000"", ""hex"": ""0x00000020""}, ""gate"": {""bin"": ""00000000000000000000000000000000"", ""hex"": ""0x00000000""}}}, ""trace"": [{""step"": 1, ""trigger"": ""1"", ""inputs"": {""spr_addr"": {""bin"": ""00000000000000000000000000000010"", ""hex"": ""0x00000002""}}, ""gold_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000100000"", ""hex"": ""0x00000020""}}, ""gate_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000000000"", ""hex"": ""0x00000000""}}}, {""step"": 2, ""trigger"": ""1"", ""inputs"": {""spr_addr"": {""bin"": ""00000000000000000000000000000010"", ""hex"": ""0x00000002""}}, ""gold_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000100000"", ""hex"": ""0x00000020""}}, ""gate_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000000000"", ""hex"": ""0x00000000""}}}, {""step"": 3, ""trigger"": ""1"", ""inputs"": {""spr_addr"": {""bin"": ""00000000000000000000000000000010"", ""hex"": ""0x00000002""}}, ""gold_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000100000"", ""hex"": ""0x00000020""}}, ""gate_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000000000"", ""hex"": ""0x00000000""}}}, {""step"": 4, ""trigger"": ""1"", ""inputs"": {""spr_addr"": {""bin"": ""00000000000000000000000000000010"", ""hex"": ""0x00000002""}}, ""gold_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000100000"", ""hex"": ""0x00000020""}}, ""gate_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000000000"", ""hex"": ""0x00000000""}}}, {""step"": 5, ""trigger"": ""1"", ""inputs"": {""spr_addr"": {""bin"": ""00000000000000000000000000000010"", ""hex"": ""0x00000002""}}, ""gold_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000100000"", ""hex"": ""0x00000020""}}, ""gate_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000000000"", ""hex"": ""0x00000000""}}}, {""step"": 6, ""trigger"": ""1"", ""inputs"": {""spr_addr"": {""bin"": ""00000000000000000000000000000010"", ""hex"": ""0x00000002""}}, ""gold_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000100000"", ""hex"": ""0x00000020""}}, ""gate_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000000000"", ""hex"": ""0x00000000""}}}, {""step"": 7, ""trigger"": ""1"", ""inputs"": {""spr_addr"": {""bin"": ""00000000000000000000000000000010"", ""hex"": ""0x00000002""}}, ""gold_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000100000"", ""hex"": ""0x00000020""}}, ""gate_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000000000"", ""hex"": ""0x00000000""}}}, {""step"": 8, ""trigger"": ""1"", ""inputs"": {""spr_addr"": {""bin"": ""00000000000000000000000000000010"", ""hex"": ""0x00000002""}}, ""gold_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000100000"", ""hex"": ""0x00000020""}}, ""gate_outputs"": {""spr_dat_o"": {""bin"": ""00000000000000000000000000000000"", ""hex"": ""0x00000000""}}}]}"
yosys,claude,or1200_cfgr,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/or1200_cfgr/or1200_cfgr_t4.v,/tmp/or1200_equiv_ref_7neg_m48/verilog/or1200_cfgr.v,or1200_cfgr,or1200_cfgr,pass,pass,incompatible,skip,bounded_seq,interface_mismatch,Interface normalization rejected candidate,missing_extra,"missing ports: spr_addr, spr_dat_o; extra ports: clk, data_in, data_out, enable, rst",[],,
yosys,claude,or1200_cfgr,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/or1200_cfgr/or1200_cfgr_t5.v,/tmp/or1200_equiv_ref_7neg_m48/verilog/or1200_cfgr.v,or1200_cfgr,or1200_cfgr,pass,pass,incompatible,skip,bounded_seq,interface_mismatch,Interface normalization rejected candidate,missing_extra,"missing ports: spr_addr, spr_dat_o; extra ports: clk, rst",[],,
yosys,codex,or1200_cfgr,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/or1200_cfgr/or1200_cfgr_t1.v,/tmp/or1200_equiv_ref_7neg_m48/verilog/or1200_cfgr.v,or1200_cfgr,or1200_cfgr,pass,fail,skip,skip,strict_comb,precheck_fail,Candidate precheck failed: /hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/or1200_cfgr/or1200_cfgr_t1.v:32: ERROR: Unimplemented compiler directive or undefined macro `OR1200_CPUCFGR.,,,[],,
yosys,codex,or1200_cfgr,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/or1200_cfgr/or1200_cfgr_t2.v,/tmp/or1200_equiv_ref_7neg_m48/verilog/or1200_cfgr.v,or1200_cfgr,or1200_cfgr,pass,pass,compatible,equivalent,strict_comb,equivalent,Strict combinational proof passed,exact_match,normalized interface matches exactly,[],,
yosys,codex,or1200_cfgr,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/or1200_cfgr/or1200_cfgr_t3.v,/tmp/or1200_equiv_ref_7neg_m48/verilog/or1200_cfgr.v,or1200_cfgr,or1200_cfgr,pass,pass,compatible,equivalent,strict_comb,equivalent,Strict combinational proof passed,exact_match,normalized interface matches exactly,[],,
yosys,codex,or1200_cfgr,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/or1200_cfgr/or1200_cfgr_t4.v,/tmp/or1200_equiv_ref_7neg_m48/verilog/or1200_cfgr.v,or1200_cfgr,or1200_cfgr,pass,pass,compatible,equivalent,strict_comb,equivalent,Strict combinational proof passed,exact_match,normalized interface matches exactly,[],,
yosys,codex,or1200_cfgr,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/or1200_cfgr/or1200_cfgr_t5.v,/tmp/or1200_equiv_ref_7neg_m48/verilog/or1200_cfgr.v,or1200_cfgr,or1200_cfgr,pass,fail,skip,skip,strict_comb,precheck_fail,Candidate precheck failed: /hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/or1200_cfgr/or1200_cfgr_t5.v:34: ERROR: Unimplemented compiler directive or undefined macro `OR1200_CPUCFGR.,,,[],,
