backend,model,module_dir,candidate_file,reference_file,reference_top,candidate_top,reference_precheck,candidate_precheck,interface_status,formal_status,proof_type,reason_bucket,reason,interface_reason_kind,interface_reason,interface_aliases_applied,counterexample_summary,counterexample_json
yosys,claude,or1200_dc_ram,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/or1200_dc_ram/or1200_dc_ram_t1.v,/tmp/or1200_equiv_ref_xb8ljlke/verilog/or1200_dc_ram.v,or1200_dc_ram,or1200_dc_ram,pass,pass,compatible,equivalent,bounded_seq,equivalent,Bounded proof passed within 8 cycles,width_equivalent,normalized width expressions: datain ([dw-1:0] vs [31:0] -> 32 bits); dataout ([dw-1:0] vs [31:0] -> 32 bits),[],,
yosys,claude,or1200_dc_ram,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/or1200_dc_ram/or1200_dc_ram_t2.v,/tmp/or1200_equiv_ref_xb8ljlke/verilog/or1200_dc_ram.v,or1200_dc_ram,or1200_dc_ram,pass,pass,compatible,tool_limited,bounded_seq,tool_timeout,Timeout after 120s,width_equivalent,normalized width expressions: datain ([dw-1:0] vs [31:0] -> 32 bits); dataout ([dw-1:0] vs [31:0] -> 32 bits),[],,
yosys,claude,or1200_dc_ram,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/or1200_dc_ram/or1200_dc_ram_t3.v,/tmp/or1200_equiv_ref_xb8ljlke/verilog/or1200_dc_ram.v,or1200_dc_ram,or1200_dc_ram,pass,pass,incompatible,skip,bounded_seq,interface_mismatch,Interface normalization rejected candidate,missing_extra,"missing ports: addr, datain, dataout, en, we; extra ports: data_in, data_out, enable",[],,
yosys,claude,or1200_dc_ram,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/or1200_dc_ram/or1200_dc_ram_t4.v,/tmp/or1200_equiv_ref_xb8ljlke/verilog/or1200_dc_ram.v,or1200_dc_ram,or1200_dc_ram,pass,pass,incompatible,skip,bounded_seq,interface_mismatch,Interface normalization rejected candidate,missing_extra,"missing ports: addr, datain, dataout, en, we",[],,
yosys,claude,or1200_dc_ram,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/or1200_dc_ram/or1200_dc_ram_t5.v,/tmp/or1200_equiv_ref_xb8ljlke/verilog/or1200_dc_ram.v,or1200_dc_ram,or1200_dc_ram,pass,pass,compatible,tool_limited,bounded_seq,tool_timeout,Timeout after 120s,width_equivalent,normalized width expressions: datain ([dw-1:0] vs [31:0] -> 32 bits); dataout ([dw-1:0] vs [31:0] -> 32 bits),[],,
yosys,codex,or1200_dc_ram,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/or1200_dc_ram/or1200_dc_ram_t1.v,/tmp/or1200_equiv_ref_xb8ljlke/verilog/or1200_dc_ram.v,or1200_dc_ram,or1200_dc_ram,pass,pass,compatible,equivalent,bounded_seq,equivalent,Bounded proof passed within 8 cycles,width_equivalent,normalized width expressions: datain ([dw-1:0] vs [31:0] -> 32 bits); dataout ([dw-1:0] vs [31:0] -> 32 bits),[],,
yosys,codex,or1200_dc_ram,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/or1200_dc_ram/or1200_dc_ram_t2.v,/tmp/or1200_equiv_ref_xb8ljlke/verilog/or1200_dc_ram.v,or1200_dc_ram,or1200_dc_ram,pass,pass,compatible,equivalent,bounded_seq,equivalent,Bounded proof passed within 8 cycles,width_equivalent,normalized width expressions: datain ([dw-1:0] vs [31:0] -> 32 bits); dataout ([dw-1:0] vs [31:0] -> 32 bits),[],,
yosys,codex,or1200_dc_ram,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/or1200_dc_ram/or1200_dc_ram_t3.v,/tmp/or1200_equiv_ref_xb8ljlke/verilog/or1200_dc_ram.v,or1200_dc_ram,or1200_dc_ram,pass,pass,compatible,tool_limited,bounded_seq,tool_timeout,Timeout after 120s,width_equivalent,normalized width expressions: datain ([dw-1:0] vs [31:0] -> 32 bits); dataout ([dw-1:0] vs [31:0] -> 32 bits),[],,
yosys,codex,or1200_dc_ram,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/or1200_dc_ram/or1200_dc_ram_t4.v,/tmp/or1200_equiv_ref_xb8ljlke/verilog/or1200_dc_ram.v,or1200_dc_ram,or1200_dc_ram,pass,pass,compatible,tool_limited,bounded_seq,tool_timeout,Timeout after 120s,width_equivalent,normalized width expressions: datain ([dw-1:0] vs [31:0] -> 32 bits); dataout ([dw-1:0] vs [31:0] -> 32 bits),[],,
yosys,codex,or1200_dc_ram,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/or1200_dc_ram/or1200_dc_ram_t5.v,/tmp/or1200_equiv_ref_xb8ljlke/verilog/or1200_dc_ram.v,or1200_dc_ram,or1200_dc_ram,pass,pass,compatible,equivalent,bounded_seq,equivalent,Bounded proof passed within 8 cycles,width_equivalent,normalized width expressions: datain ([dw-1:0] vs [31:0] -> 32 bits); dataout ([dw-1:0] vs [31:0] -> 32 bits),[],,
