backend,model,module_dir,candidate_file,reference_file,reference_top,candidate_top,reference_precheck,candidate_precheck,interface_status,formal_status,proof_type,reason_bucket,reason,interface_reason_kind,interface_reason,interface_aliases_applied,counterexample_summary,counterexample_json
yosys,claude,rotator,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/rotator/rotator_t1.v,/tmp/cordic_formal_ref_wxjjl4d_/support/rotator.v,rotator,rotator,pass,pass,incompatible,skip,bounded_seq,interface_mismatch,Interface normalization rejected candidate,missing_extra,"missing ports: x_o, y_o, z_o; extra ports: atan_val, iteration, x_1, y_1, z_1",[],,
yosys,claude,rotator,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/rotator/rotator_t2.v,/tmp/cordic_formal_ref_wxjjl4d_/support/rotator.v,rotator,rotator,pass,pass,compatible,equivalent,bounded_seq,equivalent,Bounded proof passed within 8 cycles,exact_match,normalized interface matches exactly,[],,
yosys,claude,rotator,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/rotator/rotator_t3.v,/tmp/cordic_formal_ref_wxjjl4d_/support/rotator.v,rotator,rotator,pass,fail,skip,skip,bounded_seq,precheck_fail,Candidate precheck failed: /tmp/cordic_formal_candidate_y0mp_r21/rotator_t3.v:13: ERROR: Unimplemented compiler directive or undefined macro `XY_BITS.,,,[],,
yosys,claude,rotator,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/rotator/rotator_t4.v,/tmp/cordic_formal_ref_wxjjl4d_/support/rotator.v,rotator,rotator,pass,fail,skip,skip,bounded_seq,precheck_fail,Candidate precheck failed: /tmp/cordic_formal_candidate_v0q2wjpv/rotator_t4.v:13: ERROR: Unimplemented compiler directive or undefined macro `XY_BITS.,,,[],,
yosys,claude,rotator,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/rotator/rotator_t5.v,/tmp/cordic_formal_ref_wxjjl4d_/support/rotator.v,rotator,rotator,pass,fail,skip,skip,bounded_seq,precheck_fail,Candidate precheck failed: ERROR: Can't open include file `cordic.vh'!,,,[],,
yosys,codex,rotator,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/rotator/rotator_t1.v,/tmp/cordic_formal_ref_wxjjl4d_/support/rotator.v,rotator,rotator,pass,fail,skip,skip,unknown,precheck_fail,Candidate precheck failed: Module rotator not found in /tmp/cordic_formal_candidate_32gk2uwq/rotator_t1.v,,,[],,
yosys,codex,rotator,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/rotator/rotator_t2.v,/tmp/cordic_formal_ref_wxjjl4d_/support/rotator.v,rotator,rotator,pass,fail,skip,skip,unknown,precheck_fail,Candidate precheck failed: Module rotator not found in /tmp/cordic_formal_candidate_o0bm0d2w/rotator_t2.v,,,[],,
yosys,codex,rotator,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/rotator/rotator_t3.v,/tmp/cordic_formal_ref_wxjjl4d_/support/rotator.v,rotator,rotator,pass,fail,skip,skip,unknown,precheck_fail,Candidate precheck failed: Module rotator not found in /tmp/cordic_formal_candidate_25xrgx32/rotator_t3.v,,,[],,
yosys,codex,rotator,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/rotator/rotator_t4.v,/tmp/cordic_formal_ref_wxjjl4d_/support/rotator.v,rotator,rotator,pass,fail,skip,skip,unknown,precheck_fail,Candidate precheck failed: Failed to parse port token: `else     parameter integer iteration = 0,,,[],,
yosys,codex,rotator,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/rotator/rotator_t5.v,/tmp/cordic_formal_ref_wxjjl4d_/support/rotator.v,rotator,rotator,pass,pass,compatible,equivalent,bounded_seq,equivalent,Bounded proof passed within 8 cycles,exact_match,normalized interface matches exactly,[],,
yosys,deepseek,rotator,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/deepseek/rotator/rotator_t1.v,/tmp/cordic_formal_ref_wxjjl4d_/support/rotator.v,rotator,rotator,pass,fail,skip,skip,bounded_seq,precheck_fail,Candidate precheck failed: ERROR: Found `endif outside of macro conditional branch!,,,[],,
yosys,deepseek,rotator,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/deepseek/rotator/rotator_t2.v,/tmp/cordic_formal_ref_wxjjl4d_/support/rotator.v,rotator,rotator,pass,fail,skip,skip,bounded_seq,precheck_fail,Candidate precheck failed: ERROR: Module `signed_shifter' referenced in module `rotator' in cell `shifter_y' does not have a port named 'data_out'.,,,[],,
