backend,model,module_dir,candidate_file,reference_file,reference_top,candidate_top,reference_precheck,candidate_precheck,interface_status,formal_status,proof_type,reason_bucket,reason,interface_reason_kind,interface_reason,interface_aliases_applied,counterexample_summary,counterexample_json
yosys,claude,signed_shifter,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/signed_shifter/signed_shifter_t1.v,/tmp/cordic_formal_ref_j4lvylyn/support/signed_shifter.v,signed_shifter,signed_shifter,pass,fail,skip,skip,strict_comb,precheck_fail,Candidate precheck failed: /tmp/cordic_formal_candidate_yhhzo3mb/signed_shifter_t1.v:39: ERROR: 2nd expression of procedural for-loop is not constant!,,,[],,
yosys,claude,signed_shifter,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/signed_shifter/signed_shifter_t2.v,/tmp/cordic_formal_ref_j4lvylyn/support/signed_shifter.v,signed_shifter,signed_shifter,pass,fail,skip,skip,strict_comb,precheck_fail,Candidate precheck failed: /tmp/cordic_formal_candidate_wrb_zim5/signed_shifter_t2.v:9: ERROR: Unimplemented compiler directive or undefined macro `ITERATION_BITS.,,,[],,
yosys,claude,signed_shifter,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/signed_shifter/signed_shifter_t3.v,/tmp/cordic_formal_ref_j4lvylyn/support/signed_shifter.v,signed_shifter,signed_shifter,pass,fail,skip,skip,strict_comb,precheck_fail,Candidate precheck failed: /tmp/cordic_formal_candidate_30kfdrq1/signed_shifter_t3.v:9: ERROR: Unimplemented compiler directive or undefined macro `ITERATION_BITS.,,,[],,
yosys,claude,signed_shifter,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/signed_shifter/signed_shifter_t4.v,/tmp/cordic_formal_ref_j4lvylyn/support/signed_shifter.v,signed_shifter,signed_shifter,pass,fail,skip,skip,strict_comb,precheck_fail,Candidate precheck failed: /tmp/cordic_formal_candidate_n4mhn0cq/signed_shifter_t4.v:46: ERROR: 2nd expression of procedural for-loop is not constant!,,,[],,
yosys,claude,signed_shifter,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/signed_shifter/signed_shifter_t5.v,/tmp/cordic_formal_ref_j4lvylyn/support/signed_shifter.v,signed_shifter,signed_shifter,pass,fail,skip,skip,strict_comb,precheck_fail,Candidate precheck failed: /tmp/cordic_formal_candidate_0ioy9qmh/signed_shifter_t5.v:9: ERROR: Unimplemented compiler directive or undefined macro `ITERATION_BITS.,,,[],,
yosys,codex,signed_shifter,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/signed_shifter/signed_shifter_t1.v,/tmp/cordic_formal_ref_j4lvylyn/support/signed_shifter.v,signed_shifter,signed_shifter,pass,pass,compatible,equivalent,strict_comb,equivalent,Strict combinational proof passed,exact_match,normalized interface matches exactly,[],,
yosys,codex,signed_shifter,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/signed_shifter/signed_shifter_t2.v,/tmp/cordic_formal_ref_j4lvylyn/support/signed_shifter.v,signed_shifter,signed_shifter,pass,pass,compatible,equivalent,strict_comb,equivalent,Strict combinational proof passed,exact_match,normalized interface matches exactly,[],,
yosys,codex,signed_shifter,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/signed_shifter/signed_shifter_t3.v,/tmp/cordic_formal_ref_j4lvylyn/support/signed_shifter.v,signed_shifter,signed_shifter,pass,pass,compatible,equivalent,strict_comb,equivalent,Strict combinational proof passed,exact_match,normalized interface matches exactly,[],,
yosys,codex,signed_shifter,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/signed_shifter/signed_shifter_t4.v,/tmp/cordic_formal_ref_j4lvylyn/support/signed_shifter.v,signed_shifter,signed_shifter,pass,fail,skip,skip,strict_comb,precheck_fail,Candidate precheck failed: /tmp/cordic_formal_candidate_mujik6mf/signed_shifter_t4.v:19: ERROR: 2nd expression of procedural for-loop is not constant!,,,[],,
yosys,codex,signed_shifter,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/signed_shifter/signed_shifter_t5.v,/tmp/cordic_formal_ref_j4lvylyn/support/signed_shifter.v,signed_shifter,signed_shifter,pass,pass,compatible,equivalent,strict_comb,equivalent,Strict combinational proof passed,exact_match,normalized interface matches exactly,[],,
