family,model,module_dir,observed_candidates,pass_count,fail_count,warning_pass_count
verilog_cordic_core,claude,cordic,5,4,1,0
double_fpu,claude,fpu_add,5,4,1,0
double_fpu,claude,fpu_div,5,4,1,0
double_fpu,claude,fpu_double,5,4,1,0
double_fpu,claude,fpu_exceptions,5,5,0,0
double_fpu,claude,fpu_mul,5,5,0,0
double_fpu,claude,fpu_round,5,5,0,0
double_fpu,claude,fpu_sub,5,4,1,1
i2c,claude,i2c_master_bit_ctrl,5,5,0,0
i2c,claude,i2c_master_byte_ctrl,5,4,1,0
i2c,claude,i2c_master_top,5,3,2,0
mips_16,claude,mips_EX_stage,5,4,1,0
mips_16,claude,mips_ID_stage,5,3,2,0
mips_16,claude,mips_IF_stage,5,1,4,0
mips_16,claude,mips_MEM_stage,5,4,1,0
mips_16,claude,mips_WB_stage,5,4,1,0
mips_16,claude,mips_alu,5,4,1,0
mips_16,claude,mips_data_mem,5,5,0,0
mips_16,claude,mips_hazard_detection_unit,5,4,1,0
mips_16,claude,mips_instruction_mem,5,2,3,0
mips_16,claude,mips_mips_16_core_top,5,2,3,0
mips_16,claude,mips_register_file,5,4,1,0
or1200_hp,claude,or1200_alu,5,4,1,0
or1200_hp,claude,or1200_cfgr,5,5,0,0
or1200_hp,claude,or1200_cpu,5,4,1,0
or1200_hp,claude,or1200_ctrl,5,5,0,0
or1200_hp,claude,or1200_dc_fsm,5,5,0,0
or1200_hp,claude,or1200_dc_ram,5,5,0,0
or1200_hp,claude,or1200_dc_tag,5,5,0,0
or1200_hp,claude,or1200_dc_top,5,3,2,1
or1200_hp,claude,or1200_dmmu_tlb,5,4,1,0
or1200_hp,claude,or1200_dmmu_top,5,3,2,0
or1200_hp,claude,or1200_du,5,3,2,0
or1200_hp,claude,or1200_except,5,5,0,0
or1200_hp,claude,or1200_freeze,5,5,0,0
or1200_hp,claude,or1200_genpc,5,2,3,0
or1200_hp,claude,or1200_gmultp2_32x32,5,5,0,0
or1200_hp,claude,or1200_ic_fsm,5,5,0,0
or1200_hp,claude,or1200_ic_ram,5,5,0,0
or1200_hp,claude,or1200_ic_tag,5,5,0,0
or1200_hp,claude,or1200_ic_top,5,3,2,0
or1200_hp,claude,or1200_if,5,5,0,0
or1200_hp,claude,or1200_immu_tlb,5,5,0,0
or1200_hp,claude,or1200_immu_top,5,2,3,0
or1200_hp,claude,or1200_iwb_biu,5,3,2,0
or1200_hp,claude,or1200_lsu,5,5,0,0
or1200_hp,claude,or1200_mem2reg,5,5,0,0
or1200_hp,claude,or1200_mult_mac,5,4,1,1
or1200_hp,claude,or1200_operandmuxes,5,3,2,0
or1200_hp,claude,or1200_pic,5,4,1,0
or1200_hp,claude,or1200_pm,5,5,0,0
or1200_hp,claude,or1200_qmem_top,5,5,0,0
or1200_hp,claude,or1200_reg2mem,5,5,0,0
or1200_hp,claude,or1200_rf,5,5,0,0
or1200_hp,claude,or1200_sb,5,5,0,0
or1200_hp,claude,or1200_sprs,5,4,1,0
or1200_hp,claude,or1200_top,5,5,0,0
or1200_hp,claude,or1200_tt,5,3,2,0
or1200_hp,claude,or1200_wb_biu,5,4,1,0
or1200_hp,claude,or1200_wbmux,5,5,0,0
verilog_cordic_core,claude,rotator,5,2,3,0
verilog_cordic_core,claude,signed_shifter,5,2,3,0
verilog_cordic_core,codex,cordic,5,5,0,0
double_fpu,codex,fpu_add,5,5,0,0
double_fpu,codex,fpu_div,5,5,0,0
double_fpu,codex,fpu_double,5,5,0,0
double_fpu,codex,fpu_exceptions,5,5,0,0
double_fpu,codex,fpu_mul,5,5,0,0
double_fpu,codex,fpu_round,5,5,0,0
double_fpu,codex,fpu_sub,5,5,0,0
i2c,codex,i2c_master_bit_ctrl,5,5,0,0
i2c,codex,i2c_master_byte_ctrl,5,5,0,0
i2c,codex,i2c_master_top,5,5,0,0
